company_name,ticker,isin_code
DTE ENERGY,DTE,US2333311072
DTE ENERGY CO,DTE,US2333311072
DUKE ENERGY,DUK,US26441C2044
DUKE ENERGY CORP,DUK,US26441C2044
DUPONT DE NEMOURS,DD,US26614N1028
EATON,ETN,IE00B8KQN827
EATON CORP PLC,ETN,IE00B8KQN827
EBAY,EBAY,US2786421030
EBAY INC.,EBAY,US2786421030
ECOLAB,ECL,US2788651006
EDISON INTERNATIONAL,EIX,US2810201077
EDISON INTL.,EIX,US2810201077
EDWARDS LIFESCIENCES,EW,US28176E1082
ELECTRONIC ARTS,EA,US2855121099
"ELECTRONIC ARTS, INC",EA,US2855121099
ELEVANCE HEALTH,ELV,US0367521038
ELI LILLY,LLY,US5324571083
EMCOR GROUP,EME,US29084Q1004
EMERSON ELECTRIC,EMR,US2910111044
EMERSON ELECTRIC CO.,EMR,US2910111044
ENTERGY,ETR,US29364G1031
EOG RES.,EOG,US26875P1012
EPAM SYSTE,EPAM,US29414B1044
EPAM SYSTEMS,EPAM,US29414B1044
EQT,EQT,US26884L1098
EQT CORPORATION,EQT,US26884L1098
EQUIFAX,EFX,US2944291051
EQUIFAX INC.,EFX,US2944291051
EQUINIX REIT,EQIX,US29444U7000
"EQUINIX, INC.",EQIX,US29444U7000
EQUITY RESD.TST.PROPS. SHBI,EQR,US29476L1070
EQUITY RESIDENTIAL,EQR,US29476L1070
ERIE INDEMNITY,ERIE,US29530P1021
ERIE INDEMNITY 'A',ERIE,US29530P1021
ESSEX PROPERTY TST.,ESS,US2971781057
ESTEE LAUDER CO,EL,US5184391044
ESTEE LAUDER COS.'A',EL,US5184391044
EVEREST GROUP,EG,BMG3223R1088
EVEREST GROUP LTD,EG,BMG3223R1088
EVERGY,EVRG,US30034W1062
EVERGY INC,EVRG,US30034W1062
EVERSOURCE ENERGY,ES,US30040W1080
EXELON,EXC,US30161N1019
EXPAND ENERGY,EXE,US1651677353
EXPAND ENERGY CORP,EXE,US1651677353
EXPEDIA GROUP,EXPE,US30212P3038
EXPEDIA GROUP INC,EXPE,US30212P3038
EXPEDITORS INTL WASH,EXPD,US3021301094
EXPEDITORS INTL.OF WASH. A,EXPD,US3021301094
EXTRA SPACE STRG.,EXR,US30225T1025
EXXON MOBIL,XOM,US30231G1022
EXXON MOBIL CORP,XOM,US30231G1022
F5,FFIV,US3156161024
FACTSET RESEARCH SYS,FDS,US3030751057
FACTSET RESEARCH SYS.,FDS,US3030751057
FAIR ISAAC,FICO,US3032501047
FAIR ISAAC CORP.,FICO,US3032501047
FASTENAL,FAST,US3119001044
FEDERAL REALTY INV.TST.,FRT,US3137451015
FEDERAL REALTY INVST,FRT,US3137451015
FEDEX,FDX,US31428X1063
FEDEX CORP,FDX,US31428X1063
FIDELITY NAT.INFO.SVS.,FIS,US31620M1062
FIDELITY NATNL INF,FIS,US31620M1062
FIFTH THIRD BANCORP,FITB,US3167731005
FIRST SOLAR,FSLR,US3364331070
"FIRST SOLAR, INC.",FSLR,US3364331070
FIRSTENERGY,FE,US3379321074
FISERV,FISV,US3377381088
FISERV INC,FISV,US3377381088
FORD MOTOR,F,US3453708600
FORD MOTOR COMPANY,F,US3453708600
FORTINET,FTNT,US34959E1091
FORTINET INC,FTNT,US34959E1091
FORTIVE,FTV,US34959J1088
FORTIVE CORP,FTV,US34959J1088
FOX A,FOXA,US35137L1052
FOX B,FOX,US35137L2043
FOX CORP,FOX,US35137L1052
FOX CORP,FOX,US35137L2043
FRANKLIN RESOURCES,BEN,US3546131018
FREEPOR,FCX,US35671D8570
FREEPORT-MCMORAN,FCX,US35671D8570
GARMIN,GRMN,CH0114405324
GARMIN LTD.,GRMN,CH0114405324
GARTNER 'A',IT,US3666511072
GARTNER INC,IT,US3666511072
GE AEROSPACE,GE,US3696043013
GE HEALTHCARE,GEHC,US36266G1076
GE HEALTHCARE TECHNOLOGIES,GEHC,US36266G1076
GE VERNOVA,GEV,US36828A1016
GEN DIGITAL,GEN,US6687711084
GEN DIGITAL INC,GEN,US6687711084
GENERAC HOLDINGS,GNRC,US3687361044
GENERAL DYNAMICS,GD,US3695501086
GENERAL ELECTRIC CO,GE,US3696043013
GENERAL MILLS,GIS,US3703341046
GENERAL MOTORS CO,GM,US37045V1008
GENUINE PARTS,GPC,US3724601055
GILEAD SCIENCES,GILD,US3755581036
"GILEAD SCIENCES, INC",GILD,US3755581036
GLOBAL PAYMENTS,GPN,US37940X1028
GLOBE LIFE,GL,US37959E1029
GLOBE LIFE INC,GL,US37959E1029
GODADDY,GDDY,US3802371076
GODADDY CL.A,GDDY,US3802371076
GOLDMAN SACHS,GS,US38141G1040
GOLDMAN SACHS GP.,GS,US38141G1040
HALLIBURTON,HAL,US4062161017
HALLIBURTON COMPANY,HAL,US4062161017
HARTFORD INSURANCE,HIG,US4165151048
HARTFORD INSURANCE GROUP,HIG,US4165151048
HASBRO,HAS,US4180561072
HASBRO INC,HAS,US4180561072
HCA HEALTHCARE,HCA,US40412C1018
HEALTHPEAK,PEAK,US42250P1030
HEALTHPEAK PROPERTIES,DOC,US42250P1030
HENRY SCHEIN,HSIC,US8064071025
"HENRY, (JACK) & ASSC",JKHY,US4262811015
HERSHEY,HSY,US4278661081
HERSHEY CO,HSY,US4278661081
HEWLETT PACKARD,HPQ,US42824C1099
HILTON WORLDWIDE,HLT,US43300A2033
HOLOGIC,HOLX,US4364401012
HOME DEPOT INC,HD,US4370761029
HONEYWELL INTL.,HON,US4385161066
HORMEL FOODS,HRL,US4404521001
HORMEL FOODS CORP,HRL,US4404521001
HOWMET AEROSPACE,HWM,US4432011082
HP,HPQ,US40434L1052
HUMANA,HUM,US4448591028
HUNTINGTON INGALLS,HII,US4464131063
IDEXX LABORATORIES,IDXX,US45168D1046
ILLINOIS TOOL WORKS,ITW,US4523081093
INCYTE,INCY,US45337C1027
INGERSOLL RAND,IR,US45687V1061
INSULET,PODD,US45784P1012
INSULET CORP,PODD,US45784P1012
INTEL,INTC,US4581401001
INTEL CORP,INTC,US4581401001
INTERNATIONAL BUSINESS MACHINES,IBM,US4592001014
INTERNATIONAL PAPER,IP,US4601461035
INTERPUBLIC GROUP,IPG,US4606901001
INTUIT,INTU,US4612021034
INTUIT INC,INTU,US4612021034
INTUITIVE SURGICAL,ISRG,US46120E6023
INVESCO,IVZ,BMG491BT1088
INVITATION HOMES,INVH,US46187W1071
IQVIA HOLDINGS,IQV,US46266C1053
IRON MOUNTAIN,IRM,US46284V1017
JACOBS SOLUTIONS,J,US46982L1089
JOHNSON AND JOHNSON,JNJ,US4781601046
JPMORGAN CHASE & CO,JPM,US46625H1005
KELLANOVA,K,US4878361082
KEYCORP,KEY,US4932671088
KEYSIGHT TECHNOLOGIES,KEYS,US49338L1035
KIMBERLY-CLARK,KMB,US4943681035
KIMCO REALTY,KIM,US49446R1095
KINDER MORGAN,KMI,US49456B1017
KLA,KLAC,US4824801009
KRAFT HEINZ,KHC,US5007541064
KROGER,KR,US5010441013
KROGER CO,KR,US5010441013
L3HARRIS TECHNOLOGIES,LHX,US5024311095
LAM RESEARCH,LRCX,US5128073062
LAM RESEARCH CORP,LRCX,US5128073062
LAMB WESTON HOLDINGS,LW,US5132721045
LAS VEGAS SANDS,LVS,US5178341070
LENNAR CORP,LEN,US5260571048
LINDE,LIN,IE000S9YS762
LOCKHEED MARTIN,LMT,US5398301094
LOCKHEED MARTIN CORP,LMT,US5398301094
LOEWS,L,US5404241086
LULULEMON ATHLETICA,LULU,US5500211090
LYONDELLBASELL,LYB,NL0009434992
M&T BANK,MTB,US55261F1049
MARATHON PETROLEUM,MPC,US56585A1025
MARSH & MCLENNAN,MMC,US5717481023
MASCO,MAS,US5745991068
MASCO CORP,MAS,US5745991068
MASTERCARD,MA,US57636Q1040
MATCH GROUP,MTCH,US57667L1070
MCDONALD'S CORP,MCD,US5801351017
MCDONALDS,MCD,US5801351017
MCKESSON,MCK,US58155Q1031
MEDTRONIC,MDT,IE00BTN1Y115
META PLATFORMS,META,US30303M1027
METLIFE,MET,US59156R1086
METLIFE INC,MET,US59156R1086
MGM RESORTS,MGM,US5529531015
MICROCHIP TECHNOLOGY,MCHP,US5950171042
MICRON TECHNOLOGY,MU,US5951121038
MICROSOFT,MSFT,US5949181045
MICROSOFT CORP,MSFT,US5949181045
MODERNA,MRNA,US60770K1079
MODERNA INC,MRNA,US60770K1079
MOLINA HEALTHCARE,MOH,US60855R1005
MONSTER BEVERAGE,MNST,US61174X1090
MOODY'S,MCO,US6153691059
MOODY'S CORP,MCO,US6153691059
MORGAN STANLEY DEAN WITTER,MS,US6174464486
MOSAIC,MOS,US61945C1036
MOTOROLA SOLUTIONS,MSI,US6200763075
MSCI,MSCI,US55354G1004
NASDAQ,NDAQ,US6311031081
NETFLIX,NFLX,US64110L1061
NEWMONT,NEM,US6516391066
NEWMONT CORP,NEM,US6516391066
NEXTERA ENERGY,NEE,US65339F1012
NORFOLK SOUTHERN,NSC,US6558441084
NORTHERN TRUST,NTRS,US6658591044
NORTHERN TRUST CORP,NTRS,US6658591044
NORTHROP GRUMMAN,NOC,US6668071029
NRG ENERGY,NRG,US6293775085
NVIDIA,NVDA,US67066G1040
NVIDIA CORPORATION,NVDA,US67066G1040
NVR,NVR,US62944T1051
OCCIDENTAL PETROLEUM,OXY,US6745991058
OLD DOMINION FREIGHT,ODFL,US6795801009
OMNICOM GROUP,OMC,US6819191064
ON SEMICONDUCTOR,ON,US6821891057
ONEOK,OKE,US6826801036
ORACLE,ORCL,US68389X1054
ORACLE CORP,ORCL,US68389X1054
OTIS WORLDWIDE,OTIS,US68902V1070
OTIS WORLDWIDE CORP,OTIS,US68902V1070
PACKAGING CORP,PKG,US6951561090
PALO ALTO NETWORKS,PANW,US6974351057
PARKER-HANNIFIN,PH,US7010941042
PAYCHEX,PAYX,US7043261079
PAYCHEX INC,PAYX,US7043261079
PAYCOM SOFTWARE,PAYC,US70432V1026
PAYPAL,PYPL,US70450Y1038
PAYPAL HOLDINGS INC,PYPL,US70450Y1038
PENTAIR,PNR,IE00BLS09M33
PEPSICO,PEP,US7134481081
PEPSICO INC,PEP,US7134481081
PFIZER,PFE,US7170811035
PFIZER INC,PFE,US7170811035
PG&E,PCG,US69331C1080
PHILLIPS 66,PSX,US7185461040
POOL,POOL,US73278L1052
PPG INDUSTRIES,PPG,US6935061076
PPG INDUSTRIES INC,PPG,US6935061076
PPL,PPL,US69351T1060
PPL CORP,PPL,US69351T1060
PROCTER AND GAMBLE,PG,US7427181091
PROGRESSIVE CORP,PGR,US7433151039
PROLOGIS,PLD,US74340W1036
PUBLIC STORAGE,PSA,US74460D1090
PULTEGROUP,PHM,US7458671010
QUALCOMM,QCOM,US7475251036
QUANTA SERVICES,PWR,US74762E1029
REALTY INCOME,O,US7561091049
REALTY INCOME CORP,O,US7561091049
REGENCY CENTERS,REG,US7588491032
REGENCY CENTERS CORP,REG,US7588491032
REGIONS FINANCIAL,RF,US7591EP1005
RESMED,RMD,US7611521078
REVVITY,RVTY,US7140461093
ROCKWELL AUTOMATION,ROK,US7739031091
ROLLINS,ROL,US7757111049
ROPER TECHNOLOGIES,ROP,US7766961061
ROSS STORES INC,ROST,US7782961038
ROYAL CARIBBEAN,RCL,LR0008862868
RTX,RTX,US75513E1010
SALESFORCE,CRM,US79466L3024
SALESFORCE INC,CRM,US79466L3024
SBA COMMUNICATIONS,SBAC,US78410G1040
SEAGATE TECHNOLOGY,STX,IE00BKVD2N49
SEAGATE TECHNOLOGY HOLDINGS,STX,IE00BKVD2N49
SEMPRA,SRE,US8168511090
SERVICENOW,NOW,US81762P1021
SHERWIN-WILLIAMS,SHW,US8243481061
SIMON PROPERTY GROUP,SPG,US8288061091
SKYWORKS SOLUTIONS,SWKS,US83088M1027
SOUTHERN,SO,US8425871071
SOUTHERN CO,SO,US8425871071
SOUTHWEST AIRLINES,LUV,US8447411088
STARBUCKS CORP,SBUX,US8552441094
STATE STREET,STT,US8574771031
STATE STREET CORP,STT,US8574771031
STERIS,STE,IE00BFY8C754
STRYKER,SYK,US8636671013
SYNCHRONY FINANCIAL,SYF,US87165B1035
SYNOPSYS INC,SNPS,US8716071076
SYSCO,SYY,US8718291078
T-MOBILE,TMUS,US8725901040
TAPESTRY,TPR,US8760301072
TAPESTRY INC,TPR,US8760301072
TARGET CORP,TGT,US87612E1064
TE CONNECTIVITY,TEL,IE000IVNQZ81
TESLA INC,TSLA,US88160R1014
TEXAS INSTRUMENTS INC,TXN,US8825081040
TEXTRON,TXT,US8832031012
TEXTRON INC,TXT,US8832031012
THERMO FISHER,TMO,US8835561023
TJX,TJX,US8725401090
TRANE TECHNOLOGIES,TT,IE00BK9ZQ967
TRAVELERS COS.,TRV,US89417E1091
TRIMBLE,TRMB,US8962391004
TRIMBLE INC,TRMB,US8962391004
TRUIST FINANCIAL,TFC,US89832Q1094
TYLER TECHNOLOGIES,TYL,US9022521051
UBER,UBER,US90353T1007
UDR,UDR,US9026531049
UDR INC,UDR,US9026531049
ULTA BEAUTY,ULTA,US90384S3031
ULTA BEAUTY INC,ULTA,US90384S3031
UNION PACIFIC CORP,UNP,US9078181081
UNITED AIRLINES HOLDINGS,UAL,US9100471096
UNITED RENTALS,URI,US9113631090
UNITEDHEALTH,UNH,US91324P1021
US BANCORP,USB,US9029733048
VALERO ENERGY,VLO,US91913Y1001
VALERO ENERGY CORP,VLO,US91913Y1001
VENTAS,VTR,US92276F1003
VENTAS INC,VTR,US92276F1003
VERISIGN,VRSN,US92343E1029
VERISK ANALYTICS,VRSK,US92345Y1064
VERIZON COMMUNICATIONS,VZ,US92343V1044
VIATRIS,VTRS,US92556V1061
VISA INC.,V,US92826C8394
VULCAN MATERIALS,VMC,US9291601097
WABTEC,WAB,US9297401088
WALMART INC,WMT,US9311421039
WASTE MANAGEMENT,WM,US94106L1098
WATERS,WAT,US9418481035
WELLS FARGO & CO,WFC,US9497461015
WELLTOWER,WELL,US95040Q1040
WEST PHARMACEUTICAL,WST,US9553061055
WESTERN DIGITAL,WDC,US9581021055
WESTERN DIGITAL CORP,WDC,US9581021055
WEYERHAEUSER,WY,US9621661043
WEYERHAEUSER CO,WY,US9621661043
WILLIAMS,WMB,US9694571004
WYNN RESORTS,WYNN,US9831341071
XCEL ENERGY,XEL,US98389B1008
XCEL ENERGY INC,XEL,US98389B1008
XYLEM,XYL,US98419M1009
YUM! BRANDS,YUM,US9884981013
YUM! BRANDS INC,YUM,US9884981013
ZEBRA TECHNOLOGIES,ZBRA,US9892071054
ZOETIS INC,ZTS,US98978V1035
